AnoMês,Dt. Leitura,Instalação,Cód. PN,Parceiro de negócio,Número do CNPJ,Recebedor alternativo,Nº de contrato,Titular do contrato,Categoria tarifa,Desc. Categoria tarifa,Fase,"Tp Cli (BT,MT,AT)",Lote de Leitura,Dt. Vencimento,Classe,Desc. Classe,Município,Bairro,Rua,Nº,CEP,Energia Faturada Ponta,Receita Energia Faturada Ponta,Energia Faturada Fora Ponta,Receita Energia Faturada Fora Ponta,Demanda Faturada Ponta,Receita Demanda Faturada Ponta,Demanda Faturada Fora Ponta,Receita Demanda Faturada Fora Ponta,Demanda Registrada Ponta,Receita Demanda Registrada Ponta,Demanda Registrada F.Ponta,Receita Demanda Registrada F.Ponta,Demanda Contratada Ponta,Receita Demanda Contratada Ponta,Demanda Contratada F.Ponta,Receita Demanda Contratada F.Ponta,Demanda Ultrapassagem Ponta,Receita Demanda Ultrapassagem Ponta,Demanda Ultrapassagem Fora Ponta,Receita Demanda Ultrapassagem Fora Ponta,Importe UFER Ponta,Receita Importe UFER Ponta,Importe UFER Fora Ponta,Receita Importe UFER Fora Ponta,Importe UFDR,Receita Importe UFDR,Receita Total,Juros Atraso Pagamento,IGPM,Multa Atraso Pagamento,CIP,COFINS,PIS,ICMS,Parcelamentos,Cust. Disp. MMGD,Res. 77,Desconto AES,Energia Comp. MMGD,Receita Energia Comp. MMGD,Energia Injet. MMGD,"Imp. Ret, Fonte",TUS Geração,Créditos,OUTROS VALORES
202412,21/01/2025,103967,152122000,CORPO DE BOMBEIROS MILITAR DO ESTADO DO,02133636000137,,502572649,,B3,Categoria Demais Classes B3,Trifásico,BT,43,03/03/2025,520,PODER PUBLICO - ESTADUAL,CACHOEIRO DE ITAPEMIRIM,MARBRASA,AV FRANCISCO MARDEGAN,1SN,29313-690,"3.315,000","2.269,020",,,,,,,,,,,,,,,,,,,,,,,,,"1.653,330",,,,"181,230","38,590","8,340",,,,,,-1.354 KWH,,-1.354 KWH,"-17,870",,,"-825,980"
202412,23/01/2025,107629,152126300,INSTITUTO DE DEFESA AGROPECUARIA E FLOR,02254666000100,,401076299,,B3,Categoria Demais Classes B3,Trifásico,BT,45,25/02/2025,520,PODER PUBLICO - ESTADUAL,BARRA DE SAO FRANCISCO,VILA LANDINHA,AV CASTELO BRANCO,401,29800-000,"100,000","68,450",,,,,,,,,,,,,,,,,,,,,,,,,"76,300",,,,"6,480","1,830","0,390",,,,,,,,,"-0,850",,,"0,000"
202412,07/01/2025,129356,152121900,ESPIRITO SANTO SECRETARIA DE EST DE SEG,27476373000190,,502262928,,B3,Categoria Demais Classes B3,Bifásico,BT,33,03/03/2025,520,PODER PUBLICO - ESTADUAL,SERRA,PARQUE RESIDENCIAL LARANJEIRAS,RUA COELHO NETO,1SN,29165-250,"1.808,000","1.237,530",,,,,,,,,,,,,,,,,,,,,,,,,"1.339,920",,,,"77,470","33,090","7,160",,,,,,,,,"-15,330",,,"0,000"
202412,14/01/2025,133267,152128000,INSTITUTO CAPIXABA DE PESQUISA  ASSISTE,27273416000130,,401332678,INSTITUTO CAPIXABA D,B3,Categoria Demais Classes B3,Monofásico,BT,38,03/03/2025,520,PODER PUBLICO - ESTADUAL,ARACRUZ,GUARANA,RUA JOAO FRIGINI,10,29195-470,"61,000","41,750",,,,,,,,,,,,,,,,,,,,,,,,,"74,560",,,,"31,960","1,120","0,250",,,,,,,,,"-0,520",,,"0,000"
202412,22/01/2025,140693,152121900,ESPIRITO SANTO SECRETARIA DE EST DE SEG,27476373000190,,502765394,,B3,Categoria Demais Classes B3,Monofásico,BT,44,05/03/2025,520,PODER PUBLICO - ESTADUAL,GUACUI,CENTRO,RUA JOAQUIM MARTINHO CARVALHO,269,29560-000,"803,000","549,630",,,,,,,,,,,,,,,,,,,,,,,,,"612,600",,,,"49,350","14,700","3,180",,,,,,,,,"-6,810",,,"2,550"
202412,22/01/2025,140694,152126300,INSTITUTO DE DEFESA AGROPECUARIA E FLOR,02254666000100,,401406949,,B3,Categoria Demais Classes B3,Monofásico,BT,44,25/02/2025,520,PODER PUBLICO - ESTADUAL,GUACUI,CENTRO,RUA JOAQUIM MARTINHO CARVALHO,269,29560-000,"94,000","64,340",,,,,,,,,,,,,,,,,,,,,,,,,"83,850",,,,"18,220","1,720","0,370",,,,,,,,,"-0,800",,,"0,000"
202412,22/01/2025,140695,152126300,INSTITUTO DE DEFESA AGROPECUARIA E FLOR,02254666000100,,401406957,,B3,Categoria Demais Classes B3,Monofásico,BT,44,25/02/2025,520,PODER PUBLICO - ESTADUAL,GUACUI,CENTRO,RUA CEARA,1SN,29560-000,"405,000","277,210",,,,,,,,,,,,,,,,,,,,,,,,,"326,350",,,,"43,560","7,410","1,600",,,,,,,,,"-3,430",,,"0,000"
202412,22/01/2025,140696,152128000,INSTITUTO CAPIXABA DE PESQUISA  ASSISTE,27273416000130,,401406965,INSTITUTO CAPIXABA D,B3,Categoria Demais Classes B3,Monofásico,BT,44,03/03/2025,520,PODER PUBLICO - ESTADUAL,GUACUI,CENTRO,RUA DEUDE CADE,54,29560-000,"234,000","160,160",,,,,,,,,,,,,,,,,,,,,,,,,"198,810",,,,"35,420","4,280","0,930",,,,,,,,,"-1,980",,,"0,000"
202412,13/01/2025,142637,152125100,POLICIA CIVIL,27470897000173,,401426371,,B3,Categoria Demais Classes B3,Trifásico,BT,37,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,SANTO ANTONIO,AV STO ANTONIO,1SN,29026-170,"899,000","615,340",,,,,,,,,,,,,,,,,,,,,,,,,"661,180",,,,"33,450","16,460","3,550",,,,,,,,,"-7,620",,,"0,000"
202412,31/01/2025,142714,152126200,RADIO E TELEVISAO ESPIRITO SANTO,36049641000188,,501486112,,V4,"V4 Horo-sazonal Verde 2,3 - 25 KV",Trifásico,MT,44,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,MARIO CYPRESTE,AV ENG MANOEL P. BARROS,1SN,29027-240,"112,800","193,810","1.150,000","451,350","30,000","954,900",,,"3,840","0,000","3,840","0,000","30,000","0,000",,,,,,,"1.353,600","407,380",,,,,"2.196,870",,,,"184,510","53,680","11,610",,,,,,,,,"-60,370",,,"0,000"
